rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,4
369,142,世新大學,24.98862,121.54361,捷運木柵站,24.997996,121.57444,2
385,94,和興路26巷口,24.9856,121.54531,捷運景美站,24.993254,121.541059,4
388,69,景華街128巷口,24.995563,121.547092,興豐公園,24.999837,121.547778,2
388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,328
388,98,景華街128巷口,24.995563,121.547092,羅斯福景隆街口,24.999378,121.540197,5
388,171,景華街128巷口,24.995563,121.547092,文山運動中心,24.996842,121.559651,6
388,206,景華街128巷口,24.995563,121.547092,捷運辛亥站,25.005386,121.55716,4
388,369,景華街128巷口,24.995563,121.547092,世新大學,24.98862,121.54361,5
391,94,景仁公園,24.9966,121.540295,捷運景美站,24.993254,121.541059,6
391,141,景仁公園,24.9966,121.540295,文山行政中心,24.989902,121.569984,2
391,151,景仁公園,24.9966,121.540295,考試院,24.987507,121.549827,2
391,296,景仁公園,24.9966,121.540295,萬和二號公園,25.001545,121.536446,4
391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,299
391,388,景仁公園,24.9966,121.540295,景華街128巷口,24.995563,121.547092,2
