date,Val_cat,value,trip_time_index
2021-11-01,00-4min,14,
2021-11-01,05-9min,27,
2021-11-01,10-14min,26,
2021-11-01,15-19min,10,
2021-11-01,20 min up,41,
2021-11-02,00-4min,14,
2021-11-02,05-9min,27,
2021-11-02,10-14min,32,
2021-11-02,15-19min,22,
2021-11-02,20 min up,36,
2021-11-03,00-4min,17,
2021-11-03,05-9min,37,
2021-11-03,10-14min,34,
2021-11-03,15-19min,18,
2021-11-03,20 min up,35,
2021-11-04,00-4min,22,
2021-11-04,05-9min,35,
2021-11-04,10-14min,31,
2021-11-04,15-19min,19,
2021-11-04,20 min up,29,
2021-11-05,00-4min,14,
2021-11-05,05-9min,42,
2021-11-05,10-14min,28,
2021-11-05,15-19min,26,
2021-11-05,20 min up,61,
2021-11-06,00-4min,12,
2021-11-06,05-9min,31,
2021-11-06,10-14min,25,
2021-11-06,15-19min,27,
2021-11-06,20 min up,50,
2021-11-07,00-4min,8,
2021-11-07,05-9min,21,
2021-11-07,10-14min,12,
2021-11-07,15-19min,19,
2021-11-07,20 min up,46,
2021-11-08,00-4min,13,
2021-11-08,05-9min,30,
2021-11-08,10-14min,24,
2021-11-08,15-19min,17,
2021-11-08,20 min up,34,
2021-11-09,00-4min,19,
2021-11-09,05-9min,33,
2021-11-09,10-14min,27,
2021-11-09,15-19min,22,
2021-11-09,20 min up,34,
2021-11-10,00-4min,15,
2021-11-10,05-9min,60,
2021-11-10,10-14min,38,
2021-11-10,15-19min,16,
2021-11-10,20 min up,48,
2021-11-11,00-4min,13,
2021-11-11,05-9min,47,
2021-11-11,10-14min,39,
2021-11-11,15-19min,22,
2021-11-11,20 min up,60,
2021-11-12,00-4min,10,
2021-11-12,05-9min,31,
2021-11-12,10-14min,15,
2021-11-12,15-19min,12,
2021-11-12,20 min up,25,
2021-11-13,00-4min,9,
2021-11-13,05-9min,24,
2021-11-13,10-14min,23,
2021-11-13,15-19min,20,
2021-11-13,20 min up,18,
2021-11-14,00-4min,13,
2021-11-14,05-9min,20,
2021-11-14,10-14min,20,
2021-11-14,15-19min,10,
2021-11-14,20 min up,38,
2021-11-15,00-4min,14,
2021-11-15,05-9min,37,
2021-11-15,10-14min,41,
2021-11-15,15-19min,22,
2021-11-15,20 min up,40,
2021-11-16,00-4min,10,
2021-11-16,05-9min,52,
2021-11-16,10-14min,34,
2021-11-16,15-19min,28,
2021-11-16,20 min up,50,
2021-11-17,00-4min,15,
2021-11-17,05-9min,40,
2021-11-17,10-14min,35,
2021-11-17,15-19min,20,
2021-11-17,20 min up,56,
2021-11-18,00-4min,11,
2021-11-18,05-9min,42,
2021-11-18,10-14min,28,
2021-11-18,15-19min,17,
2021-11-18,20 min up,38,
2021-11-19,00-4min,14,
2021-11-19,05-9min,39,
2021-11-19,10-14min,31,
2021-11-19,15-19min,12,
2021-11-19,20 min up,41,
2021-11-20,00-4min,8,
2021-11-20,05-9min,35,
2021-11-20,10-14min,14,
2021-11-20,15-19min,10,
2021-11-20,20 min up,24,
2021-11-21,00-4min,5,
2021-11-21,05-9min,21,
2021-11-21,10-14min,20,
2021-11-21,15-19min,19,
2021-11-21,20 min up,42,
2021-11-22,00-4min,14,
2021-11-22,05-9min,21,
2021-11-22,10-14min,25,
2021-11-22,15-19min,20,
2021-11-22,20 min up,21,
2021-11-23,00-4min,7,
2021-11-23,05-9min,25,
2021-11-23,10-14min,26,
2021-11-23,15-19min,7,
2021-11-23,20 min up,11,
2021-11-24,00-4min,22,
2021-11-24,05-9min,42,
2021-11-24,10-14min,35,
2021-11-24,15-19min,12,
2021-11-24,20 min up,49,
2021-11-25,00-4min,22,
2021-11-25,05-9min,34,
2021-11-25,10-14min,31,
2021-11-25,15-19min,22,
2021-11-25,20 min up,47,
2021-11-26,00-4min,3,
2021-11-26,05-9min,23,
2021-11-26,10-14min,22,
2021-11-26,15-19min,10,
2021-11-26,20 min up,14,
2021-11-27,00-4min,5,
2021-11-27,05-9min,4,
2021-11-27,10-14min,7,
2021-11-27,15-19min,5,
2021-11-27,20 min up,20,
2021-11-28,00-4min,6,
2021-11-28,05-9min,33,
2021-11-28,10-14min,18,
2021-11-28,15-19min,8,
2021-11-28,20 min up,36,
2021-11-29,00-4min,15,
2021-11-29,05-9min,29,
2021-11-29,10-14min,28,
2021-11-29,15-19min,18,
2021-11-29,20 min up,38,
2021-11-30,00-4min,15,
2021-11-30,05-9min,36,
2021-11-30,10-14min,44,
2021-11-30,15-19min,16,
2021-11-30,20 min up,40,
