date,Val_cat,value,trip_time_index
2021-11-01,00-4min,80,
2021-11-01,05-9min,197,
2021-11-01,10-14min,151,
2021-11-01,15-19min,71,
2021-11-01,20 min up,121,
2021-11-02,00-4min,68,
2021-11-02,05-9min,208,
2021-11-02,10-14min,124,
2021-11-02,15-19min,69,
2021-11-02,20 min up,108,
2021-11-03,00-4min,73,
2021-11-03,05-9min,216,
2021-11-03,10-14min,124,
2021-11-03,15-19min,56,
2021-11-03,20 min up,99,
2021-11-04,00-4min,89,
2021-11-04,05-9min,211,
2021-11-04,10-14min,142,
2021-11-04,15-19min,80,
2021-11-04,20 min up,110,
2021-11-05,00-4min,72,
2021-11-05,05-9min,253,
2021-11-05,10-14min,184,
2021-11-05,15-19min,104,
2021-11-05,20 min up,139,
2021-11-06,00-4min,40,
2021-11-06,05-9min,156,
2021-11-06,10-14min,140,
2021-11-06,15-19min,113,
2021-11-06,20 min up,182,
2021-11-07,00-4min,43,
2021-11-07,05-9min,135,
2021-11-07,10-14min,127,
2021-11-07,15-19min,81,
2021-11-07,20 min up,160,
2021-11-08,00-4min,59,
2021-11-08,05-9min,123,
2021-11-08,10-14min,106,
2021-11-08,15-19min,45,
2021-11-08,20 min up,69,
2021-11-09,00-4min,80,
2021-11-09,05-9min,190,
2021-11-09,10-14min,152,
2021-11-09,15-19min,61,
2021-11-09,20 min up,100,
2021-11-10,00-4min,83,
2021-11-10,05-9min,202,
2021-11-10,10-14min,142,
2021-11-10,15-19min,70,
2021-11-10,20 min up,89,
2021-11-11,00-4min,83,
2021-11-11,05-9min,253,
2021-11-11,10-14min,147,
2021-11-11,15-19min,79,
2021-11-11,20 min up,132,
2021-11-12,00-4min,42,
2021-11-12,05-9min,169,
2021-11-12,10-14min,136,
2021-11-12,15-19min,74,
2021-11-12,20 min up,100,
2021-11-13,00-4min,37,
2021-11-13,05-9min,108,
2021-11-13,10-14min,106,
2021-11-13,15-19min,57,
2021-11-13,20 min up,91,
2021-11-14,00-4min,40,
2021-11-14,05-9min,148,
2021-11-14,10-14min,137,
2021-11-14,15-19min,60,
2021-11-14,20 min up,127,
2021-11-15,00-4min,93,
2021-11-15,05-9min,207,
2021-11-15,10-14min,144,
2021-11-15,15-19min,85,
2021-11-15,20 min up,118,
2021-11-16,00-4min,83,
2021-11-16,05-9min,239,
2021-11-16,10-14min,151,
2021-11-16,15-19min,86,
2021-11-16,20 min up,126,
2021-11-17,00-4min,74,
2021-11-17,05-9min,219,
2021-11-17,10-14min,141,
2021-11-17,15-19min,76,
2021-11-17,20 min up,104,
2021-11-18,00-4min,54,
2021-11-18,05-9min,190,
2021-11-18,10-14min,119,
2021-11-18,15-19min,62,
2021-11-18,20 min up,83,
2021-11-19,00-4min,68,
2021-11-19,05-9min,234,
2021-11-19,10-14min,142,
2021-11-19,15-19min,81,
2021-11-19,20 min up,142,
2021-11-20,00-4min,28,
2021-11-20,05-9min,114,
2021-11-20,10-14min,115,
2021-11-20,15-19min,69,
2021-11-20,20 min up,93,
2021-11-21,00-4min,45,
2021-11-21,05-9min,151,
2021-11-21,10-14min,146,
2021-11-21,15-19min,84,
2021-11-21,20 min up,157,
2021-11-22,00-4min,54,
2021-11-22,05-9min,137,
2021-11-22,10-14min,108,
2021-11-22,15-19min,44,
2021-11-22,20 min up,83,
2021-11-23,00-4min,38,
2021-11-23,05-9min,88,
2021-11-23,10-14min,53,
2021-11-23,15-19min,32,
2021-11-23,20 min up,53,
2021-11-24,00-4min,75,
2021-11-24,05-9min,194,
2021-11-24,10-14min,152,
2021-11-24,15-19min,81,
2021-11-24,20 min up,89,
2021-11-25,00-4min,67,
2021-11-25,05-9min,184,
2021-11-25,10-14min,97,
2021-11-25,15-19min,46,
2021-11-25,20 min up,77,
2021-11-26,00-4min,23,
2021-11-26,05-9min,94,
2021-11-26,10-14min,56,
2021-11-26,15-19min,35,
2021-11-26,20 min up,46,
2021-11-27,00-4min,22,
2021-11-27,05-9min,47,
2021-11-27,10-14min,42,
2021-11-27,15-19min,19,
2021-11-27,20 min up,28,
2021-11-28,00-4min,31,
2021-11-28,05-9min,146,
2021-11-28,10-14min,121,
2021-11-28,15-19min,74,
2021-11-28,20 min up,114,
2021-11-29,00-4min,66,
2021-11-29,05-9min,201,
2021-11-29,10-14min,153,
2021-11-29,15-19min,61,
2021-11-29,20 min up,118,
2021-11-30,00-4min,56,
2021-11-30,05-9min,155,
2021-11-30,10-14min,119,
2021-11-30,15-19min,65,
2021-11-30,20 min up,63,
