date,Val_cat,value,trip_time_index
2021-11-02,20 min up,3,
2021-11-03,05-9min,2,
2021-11-03,10-14min,1,
2021-11-03,15-19min,2,
2021-11-03,20 min up,2,
2021-11-06,05-9min,2,
2021-11-06,10-14min,4,
2021-11-06,20 min up,4,
2021-11-07,05-9min,2,
2021-11-07,10-14min,3,
2021-11-07,20 min up,8,
2021-11-09,10-14min,1,
2021-11-10,10-14min,2,
2021-11-10,20 min up,2,
2021-11-11,10-14min,1,
2021-11-11,15-19min,2,
2021-11-11,20 min up,4,
2021-11-12,15-19min,1,
2021-11-13,20 min up,3,
2021-11-14,05-9min,2,
2021-11-14,10-14min,4,
2021-11-14,15-19min,1,
2021-11-14,20 min up,1,
2021-11-15,05-9min,2,
2021-11-16,10-14min,1,
2021-11-17,10-14min,1,
2021-11-21,05-9min,1,
2021-11-21,10-14min,2,
2021-11-21,20 min up,7,
2021-11-22,10-14min,1,
2021-11-24,15-19min,4,
2021-11-28,20 min up,1,
2021-11-29,05-9min,1,
2021-11-29,10-14min,1,
2021-11-29,20 min up,1,
2021-11-30,05-9min,1,
